岩手医科,岩手県,医
獨協医科,栃木県,医
北里,東京都,"医,獣医,海洋生命科学"
杏林,東京都,医
工学院,東京都,理系
国士舘,東京都,"理工,政経,法,文,経営"
順天堂,東京都,医
専修,東京都,文系
昭和,神奈川県,医
玉川,東京都,"理系,文系"
東京女子,東京都,現代教養
東京薬科,東京都,薬
日本,東京都,"理系,文系,医"
日本医科,東京都,医
聖マリアンナ医科,神奈川県,医
同志社女子,京都府,薬
龍谷,京都府,理系
大阪医科,大阪府,医
大阪電気通信,大阪府,理系
大阪薬科,大阪府,薬
近畿,大阪府,理系
川崎医科,岡山県,医
愛知工業,愛知県,"工,経営,情報科学"
青山学院,東京都,理系
大阪工業,大阪府,理系
学習院,東京都,"文系,理系"
神奈川,神奈川県,"理系,文系"
金沢工業,石川県,理系
関西,大阪府,"理系,文系"
関西学院,兵庫県,"理系,文系"
京都産業,京都府,"理系,文系"
京都薬科,京都府,薬
慶應義塾,東京都,"薬,看護医療,理工,経済,商,総合政策,環境情報,医"
甲南,兵庫県,理系
神戸学院,兵庫県,文系
神戸薬科,兵庫県,薬
駒澤,東京都,文系
産業医科,福岡県,医
自治医科,栃木県,医
芝浦工業,東京都,理系
上智,東京都,"文系,理工"
昭和薬科,沖縄県,薬
成蹊,東京都,理工
成城,東京都,経済
西南学院,福岡県,文系
摂南,大阪府,理系
千葉工業,千葉県,理系
中央,東京都,"理工,経済"
津田塾,東京都,学芸
東海,東京都,"医,理系"
東京医科,東京都,医
東京慈恵会医科,東京都,医
東京電機,東京都,理系
東京都市,東京都,理系
東京理科,東京都,"理,工,薬"
同志社,京都府,"理系,文系"
東北医科薬科,宮城県,"医,薬"
東北学院,宮城県,工
獨協,埼玉県,文系
南山,愛知県,理系
日本女子,東京都,理
兵庫医科,兵庫県,医
広島工業,広島県,理系
福岡,福岡県,"理系,文系"
藤田保健衛生,愛知県,医
法政,東京都,理系
北星学園,北海道,文系
星薬科,東京都,薬
北海学園,北海道,"工,文系"
明治,東京都,"文系,理系"
明治学院,東京都,文系
明治薬科,東京都,薬
名城,愛知県,"薬,理工"
立教,東京都,"理,文系"
立命館,京都府,"理工,薬"
早稲田,東京都,"工,国際教養,スポーツ科学,人間科学,教育,政治経済,商,社会科学"